dice,iou,hd95,precision,recall,specificity,tp,pred_voxels,true_voxels,fold,case
0.3996138870716095,0.2496984302997589,183.29637145996094,0.5440210103988647,0.31578946113586426,0.999973714351654,414,761,1311,1,lung_095.nii.gz
0.04456222057342529,0.022788871079683304,299.2114562988281,0.023897912353277206,0.3293365240097046,0.9993569254875183,412,17240,1251,2,lung_006.nii.gz
0.30316248536109924,0.1786632388830185,230.98733520507812,0.2218085080385208,0.4787600338459015,0.9998688101768494,417,1880,871,2,lung_020.nii.gz
0.04522492364048958,0.023135613650083542,206.39857482910156,0.10485219955444336,0.02882993407547474,0.9998793005943298,188,1793,6521,2,lung_026.nii.gz
0.07453416287899017,0.03870967775583267,264.57061767578125,0.22742636501789093,0.044570617377758026,0.999779224395752,942,4142,21135,2,lung_031.nii.gz
0.17952387034893036,0.0986136943101883,219.46974182128906,0.11214041709899902,0.449804425239563,0.9996287822723389,690,6153,1534,2,lung_038.nii.gz
0.2267238050699234,0.12785588204860687,182.22006225585938,0.1777099221944809,0.3130715489387512,0.9997928142547607,582,3275,1859,2,lung_042.nii.gz
0.22012847661972046,0.1236766129732132,260.3236999511719,0.17076411843299866,0.3096385598182678,0.9999154210090637,257,1505,830,2,lung_043.nii.gz
0.7026427984237671,0.5415955185890198,238.657958984375,0.6558345556259155,0.7566462159156799,0.999911904335022,2220,3385,2934,2,lung_046.nii.gz
0.0010653409408405423,0.0005329543491825461,535.6318359375,0.0005476651131175458,0.019455252215266228,0.9982021450996399,30,54778,1542,2,lung_047.nii.gz
0.055953267961740494,0.02878185361623764,220.2181854248047,0.028944021090865135,0.8370565176010132,0.9987077713012695,637,22008,761,2,lung_048.nii.gz
0.4254327416419983,0.2701902687549591,238.1573028564453,0.41792020201683044,0.4332203269004822,0.9999361634254456,639,1529,1475,2,lung_049.nii.gz
0.4104803502559662,0.25824177265167236,273.6390075683594,0.3684864640235901,0.46327683329582214,0.9995754957199097,3854,10459,8319,2,lung_055.nii.gz
0.2471437156200409,0.1409948468208313,328.5924377441406,0.14310584962368011,0.9052863717079163,0.9998352527618408,411,2872,454,2,lung_061.nii.gz
0.6954987645149231,0.5331529974937439,204.1036376953125,0.8342484831809998,0.5963205099105835,0.9998883605003357,7293,8742,12230,2,lung_065.nii.gz
0.6450096368789673,0.47602522373199463,209.47970581054688,0.6445963382720947,0.645423412322998,0.9999544024467468,1509,2341,2338,2,lung_066.nii.gz
